Crop_Name,Question,Answer,Label
ጤፍ,አንዳንድ ተወዳጅ የጤፍ ዝርያዎች የትኞቹ ናቸው?,ታዋቂ የጤፍ ዝርያዎች  ዳቦ፣ ሰርጌኛ፣ ነፃ ቡንኝ፣ ጎዳሺኝ፣ ቊንጮ፣  ለማነች፣  እፁብ  ናቸው።,Varieties
ጤፍ,ጤፍ ለመዝራት የተሻለው ወቅት የትኛው ነው?,ከሰኔ እስከ ሀምሌ ባለው ጊዜ ጤፍ እንደየዝናብ አወሳሰድ ሁኔታ በብዛት ይዘራል።,Season
ጤፍ,ለጤፍ ልማት ምን ያህል ማዳበሪያ ይመከራል?, ለጤፍ ልማት የሚመከረው የማዳበሪያ መጠን 100 ኪሎ ግራም ዲኤፒ (ዲያሞኒየም ፎስፌት) በተከለው ጊዜ እና ዩሪያ 50 ኪሎ ግራም በሄክታር መሬት ላይ ነው።,Fertilizer
ጤፍ,ለጤፍ ልማት ምን ዓይነት አፈር ተስማሚ ነው?,ጤፍ በተለያዩ የአፈር ዓይነቶች ላይ ሊበቅል ይችላል ነገር ግን ከ 5.5 እስከ 7.5 የሚደርስ ፒኤች ያለው ጥሩ እርጥበት ያለው የአፈር አፈርን ይመርጣል።,Soil
ጤፍ,የጤፍ አማካይ ምርት ምን ያህል ነው?,በጎጃም ክልል ያለው አማካይ የጤፍ ምርት 20.8 ኩት/ሄር አካባቢ ነው።,Yield
ጤፍ,ለጤፍ ዘሮች ጥሩው የመትከል ጥልቀት ምን ያህል ነው?,በ1 እስከ 2 ሴ.ሜ ጥልቀት ውስጥ ዘሮችን ይትከሉ. ጥልቀት የሌለውን መትከል በጣም ጥልቀት የሌለውን መትከል ማብቀል እንዲዘገይ ያደርጋል።,Cultivation
ጤፍ,ለጤፍ ልማት የሚመከረው የሙቀት መጠን ምን ያህል ነው?,ጤፍ በ20 እስከ 30°C ይበቅላል። የጤፍ እድገት ላይ አሉታዊ ተጽዕኖ ስለሚያሳድሩ ከፍተኛ የሙቀት መጠን መለዋወጥ እና ውርጭ ያስወግዱ።,Cultivation
ጤፍ,የጤፍ ሰብሎችን ከወፍ ጉዳት እንዴት መከላከል ይቻላል?,እህል በሚሞላበት ወቅት ጤፍን ከአእዋፍ ጠብቅ ።,Pesticide
ጤፍ,ለጤፍ የተለመደው የመትከል ጊዜ ስንት ነው?,የአፈርን እርጥበት እና የሙቀት ሁኔታን ግምት ውስጥ በማስገባት ዝናባማ ወቅት ወይም ሞቃታማ ወቅት መጀመሪያ ላይ ጤፍ ይትከሉ።,Season
ጤፍ,ጤፍ በተፈጥሮ ሊበቅል ይችላል?,አዎ ጤፍ በተፈጥሮ ማዳበሪያዎች የተባይ መቆጣጠሪያ ዘዴዎችን እና ትክክለኛ የአፈር አያያዝ ዘዴዎችን በመጠቀም በተፈጥሮ ሊበቅል ይችላል።,Cultivation
ጤፍ,ለጤፍ ተስማሚ የእድገት ሁኔታዎች ምንድ ናቸው?,ጤፍ በሞቃታማ የአየር ጠባይ (20 እስከ 30°C) በደንብ ለም አፈር (pH 6 እስከ 7) ይበቅላል።,Cultivation
ጤፍ,ጤፍ እስኪበስል ድረስ ምን ያህል ጊዜ ይወስዳል?,ጤፍ በ 90 እስከ 120 ቀናት ውስጥ እንደ ልዩነት እና የእድገት ሁኔታ ይበቅላል።,Yield
ጤፍ,ለጤፍ ልማት ምን ዓይነት ማዳበሪያ ይመከራል?,በመትከል እና በመደበኛ ክፍተቶች በናይትሮጅን የበለፀጉ ማዳበሪያዎችን (10 እስከ 5 እስከ 10 NPK ጥምርታ) ይጠቀሙ።,Fertilizer
ጤፍ,ለጤፍ ሰብሎች ተስማሚ የሆነው የትኛው የአፈር አይነት ነው?,ጤፍ በደረቃማ ወይም በአሸዋማ አፈር ላይ ጥሩ ውሃ የመያዝ አቅም ያለው በደንብ ይበቅላል።,Soil
ጤፍ,ለጤፍ የሚመከር የመስኖ ዘዴ ምንድነው?,ለመደበኛ እና ለእርጥበት አቅርቦት የሚንጠባጠብ ወይም የሚረጭ መስኖ ይጠቀሙ።,Irrigation
ጤፍ,በጤፍ ላይ የተለመዱ ተባዮች እና በሽታዎች ምንድናቸው?,የተለመዱ ተባዮች፡- አፊድ ሠራዊት ትሎች ፌንጣ። በሽታዎች፡ የቅጠል ነጠብጣብ ስርወ መበስበስ።,Pesticide
ጤፍ,ጤፍ በብዛት የሚመረተው በየትኛው ወቅት ነው?,ጤፍ የሚበቀለው በሞቃታማ ወይም ዝናባማ ወቅቶች ውርጭን በማስወገድ እና ከ10°ሴ በላይ የሆነ ሙቀት ነው።,Season
ጤፍ,ለጤፍ ልማት የሚመከረው የዝናብ ክልል ምን ያህል ነው?,ጤፍ በዓመት ከ600 እስከ 900 ሚሊ ሜትር የዝናብ መጠን ይፈልጋል ነገርግን ድርቅን መቋቋም ይችላል።,Rainfall
ጤፍ,የትኞቹ የጤፍ ዝርያዎች በብዛት ይመረታሉ?,የተለመዱ ዝርያዎች፡- አይቮሪ ጤፍ ቡናማ ጤፍ ነጭ ጤፍ የተለያየ የእህል ባህሪ ያለው።,Varieties
ጤፍ,ጤፍ እንዴት መሰብሰብ አለበት?,እህሉ ሙሉ በሙሉ ሲበስል እና ገለባ ወደ ቢጫነት ሲቀየር መከር። ወደ መሬቱ ጠጋ ብለው ይቁረጡ እና እህልን ለመለየት ይውቁ።,Cultivation
ጤፍ,ለጤፍ የተለመደው የምርት መጠን ምን ያህል ነው?,አማካኝ ምርት፡ በሄክታር ከ1 እስከ 2.5 ሜትሪክ ቶን በአፈር የአየር ንብረት እና በግብርና አሰራር ተጽእኖ ስር።,Yield
ጤፍ,ለጤፍ የሚመከሩት የክፍተት እና የዘር መጠን ምን ያህል ነው?,በመደዳዎች መካከል ከ15 እስከ 20 ሴ.ሜ ርቀት እና በዘሮቹ መካከል 1 እስከ 2 ሴ.ሜ. የዘር መጠን: 2 እስከ 5 ኪ.ግ በሄክታር።,Cultivation
ጤፍ,ጤፍ በመያዣ ወይም በድስት ውስጥ ይበቅላል?,ጤፍ በዋነኛነት የሚበቅለው በሜዳ ላይ ነው ነገር ግን ለሙከራ ወይም ለትንሽ አገልግሎት በትልልቅ ኮንቴይነሮች ወይም ከፍ ባለ አልጋዎች ሊበቅል ይችላል።,Cultivation
ጤፍ,የጤፍ እህል የአመጋገብ ዋጋ ስንት ነው?,የጤፍ እህሎች በጣም ጠቃሚ ከግሉተን-ነጻ በፋይበር ብረት ካልሲየም እና አስፈላጊ አሚኖ አሲዶች የበለፀጉ ናቸው። የተመጣጠነ ምግብ እና ጉልበት ያቀርባል።,Cultivation
ጤፍ,በጤፍ ማሳ ላይ የአረም መከላከልን እንዴት መከላከል ይቻላል?,አረሙን በአግባቡ በማዘጋጀት ለጤፍ የተመዘገቡ ፀረ አረም ኬሚካሎችን በማዘጋጀት እና የአረምን እድገት ለመግታት መከላከል።,Cultivation
ጤፍ,የጤፍ ምርትን የሚነኩ ዋና ዋና ነገሮች ምንድን ናቸው?,ዋና ዋና ምክንያቶች፡- የአፈር ለምነት የውሃ አቅርቦት ተባይ እና በሽታን መቆጣጠር የሰብል ሽክርክር አረም መከላከል እና የግብርና ስራዎች።,Yield
ጤፍ,ጤፍ በባህላዊ መንገድ ለምግብነት የሚዘጋጀው እንዴት ነው?,የጤፍ እህል በባህላዊ መንገድ በዱቄት ውስጥ ለኢጄራ (የዳቦ ጠፍጣፋ ዳቦ) ተፈጭቶ ለገንፎ ወጥ እና ከግሉተን-ነጻ የምግብ አዘገጃጀት አገልግሎት ይውላል።,Cultivation
ጤፍ,ጤፍ ከሌሎች ሰብሎች ጋር መቆራረጥ ይቻላል?,አዎ ጤፍ እንደ ሽምብራ ወይም ምስር ባሉ ጥራጥሬዎች መከተብ ይችላል ይህም እንደ የተሻሻለ የአፈር ለምነት እና የተባይ ግፊት መቀነስ ያሉ ጥቅሞችን ይሰጣል።,Cultivation
ጤፍ,ለጤፍ እህሎች የማከማቻ መስፈርቶች ምንድ ናቸው?,የጤፍ እህሎችን በቀዝቃዛ ደረቅ በደንብ አየር ውስጥ ያከማቹ። እንዳይበላሽ እና እንዳይበከል በደረቁ ያጽዱ እና እርጥበት በማይከላከሉ መያዣዎች ውስጥ ያሽጉዋቸው።,Cultivation
ጤፍ,የጤፍ ዋና የወጪ ገበያዎች ምን ምን ናቸው?,ዋና የኤክስፖርት ገበያዎች፡ ዩናይትድ ስቴትስ አውሮፓ መካከለኛው ምስራቅ እና ሌሎች የአፍሪካ ሀገራት። ጤፍ በዋነኝነት የሚመረተው በኢትዮጵያ ነው።,Cultivation
ጤፍ,ጤፍ እንዴት ይተላለፋል?,ጤፍ በዘር ይተላለፋል። ንፁህ ሰብስብ እና የበሰሉ የጤፍ ዘሮችን ለቀጣይ ተከላ አከማቹ።,Cultivation
ጤፍ,የጎለመሱ የጤፍ ተክሎች ዓይነተኛ ቁመት ምን ያህል ነው?,"የጎለመሱ የጤፍ ተክሎች ከ90 እስከ 120 ሴ.ሜ ቁመት ይደርሳሉ, እንደ ልዩነት እና የእድገት ሁኔታዎች ይለያያሉ።",Cultivation
ጤፍ,በጤፍ ማሳ ላይ በብዛት የሚገኙት አረሞች ምን ምን ናቸው?,የተለመዱ አረሞች፡- ባርኔርድ ሳር ጎስሳር ፎክስቴይል ፒግዌድ። አረሞችን በእጅ አረም በማረም እና በሰብል ማሽከርከር ይቆጣጠሩ።,Pesticide
ጤፍ,የጤፍ አማካይ የዘር ማብቀል ጊዜ ስንት ነው?,የጤፍ ዘሮች በጥሩ ሁኔታ ውስጥ ከ3 እስከ 5 ቀናት ውስጥ ይበቅላሉ። በቂ የአፈር እርጥበት እና የሙቀት መጠን ወሳኝ ናቸው።,Cultivation
ጤፍ,ጤፍ ድርቅን የሚቋቋም ሰብል ነው?,አዎን ጤፍ በድርቅ መቻቻል የሚታወቀው ጥልቅ ስርወ ስርአቶች ጥልቅ የአፈር ውሃ ክምችት በማግኘት ነው።,Cultivation
ጤፍ,ለጤፍ ልማት የአፈር ለምነትን እንዴት ማሻሻል ይቻላል?,እንደ ብስባሽ ወይም በደንብ የበሰበሰ ፍግ ባሉ ኦርጋኒክ ነገሮች የአፈርን ለምነት ያሻሽሉ። የአፈር ምርመራ የምግብ አተገባበርን ይመራል።,Soil
ጤፍ,ለጤፍ የሚመከር ዘዴ ምንድነው?,በባህላዊ መንገድ ጤፍን ማጭድ ወይም ማጭድ መቁረጫ ተክሎችን በመጠቀም ወደ መሬት ቅርብ። እህልን ለመለየት ሰብሉን ያደርቁ እና ያሽጉ።,Cultivation
ጤፍ,ጤፍ በእድገት ደረጃው ወቅት የሚፈለገው የውሃ ፍላጎት ምንድነው?,ጤፍ በእድገት ደረጃዎች ውስጥ 400 እስከ 600 ሚሊ ሜትር ውሃን ይፈልጋል. የውሃ ፍላጎቶች በአፈር እርጥበት እና በሰብል ደረጃ ላይ ተመስርተው ይለያያሉ።,Irrigation
ጤፍ,ጤፍ እንደ ሽፋን ሰብል ማምረት ይቻላል?,አዎ የአፈር መሸርሸርን ለመከላከል እና የአፈርን ጤና ለማሻሻል ጤፍ እንደ ሽፋን ሰብል ሊበቅል ይችላል። ፈጣን አመሰራረቱ አረሞችን ያስወግዳል።,Cultivation
ጤፍ,ለጤፍ የተለየ የድህረ ምርት ግምት አለ?,የተጣራ የጤፍ እህል ፍርስራሾችን እና የውጭ ቁሳቁሶችን ያስወግዳል. ጥራቱን ለመጠበቅ እና ወረራዎችን ለመከላከል ጥራጥሬዎችን በቀዝቃዛ ደረቅ ቦታዎች ያከማቹ።,Cultivation
ጤፍ,የጤፍ ሰብሎችን እና አመራሩን የሚጎዱ ዋና ዋና በሽታዎች ምንድን ናቸው?,የተለመዱ በሽታዎች: የ smut leaf spot root መበስበስ. በሰብል ማሽከርከር የንፅህና አጠባበቅ እና ወቅታዊ የፈንገስ መድሐኒት አተገባበር በሽታዎችን ይቆጣጠሩ።,Pesticide
ጤፍ,ለጤፍ ልማት ተስማሚው የፒኤች ክልል ምን ያህል ነው?,ጤፍ በትንሹ አሲዳማ እና ገለልተኛ በሆነ አፈር ውስጥ ይበቅላል ፣ የፒኤች መጠን ከ6.0 እስከ 7.0 ነው። የአፈር pH በንጥረ ነገሮች አቅርቦት እና በሰብል አፈፃፀም ላይ ተጽእኖ ያሳድራል።,Soil
ጤፍ,ጤፍ በግሪን ሃውስ ውስጥ ማምረት ይቻላል?,ጤፍ በተለምዶ የሚበቅለው በሜዳ ላይ ሲሆን ዓመቱን ሙሉ ለማምረት እና ለተመቻቸ የእድገት ሁኔታዎች በግሪን ሃውስ ውስጥ ሊለማ ይችላል።,Cultivation
ጤፍ,ጤፍ በወጉ የሚወቃው እንዴት ነው?,በተለምዶ ጤፍ በእንስሳት ይወቃል ወይም የተሰበሰበ ሰብል በንፁህ መሬት ላይ እየረገጠ ወይም እህልን ለመለየት ይደበድባል። ሜካኒካል ዘዴዎችም ጥቅም ላይ ይውላሉ።,Cultivation
ጤፍ,የጤፍ የአመጋገብ ጥቅሞች ምንድ ናቸው?,ጤፍ በጣም ገንቢ የሆነ የአመጋገብ ፋይበር ፕሮቲን ብረት ካልሲየም ቢ-ቫይታሚን እና ለምግብ መፈጨት ጤናን የሚቋቋም ስታርች ይዟል።,Cultivation
ጤፍ,ጤፍ ለመብቀል ምን ያህል ጊዜ ይወስዳል?,የጤፍ ዘሮች በ 5 እስከ 10 ቀናት ውስጥ ምቹ በሆኑ ሁኔታዎች ውስጥ ይበቅላሉ. በቂ የአፈር እርጥበት ሙቀት እና የዘር ጥራት አስፈላጊ ናቸው።,Cultivation
ጤፍ,ለጤፍ የተለመዱ የአበባ ብናኞች ምንድን ናቸው?,ጤፍ በራሱ ይበላል ነገር ግን የንፋስ እና የስበት ኃይል በአበባዎች መካከል የአበባ ዱቄትን ለማስተላለፍ ይረዳል።,Cultivation
ጤፍ,ጤፍ ከግሉተን ነፃ በሆነ መጋገር ውስጥ መጠቀም ይቻላል?,አዎ የጤፍ ዱቄት በአመጋገብ ጣእሙ እና ከፍተኛ የአመጋገብ ይዘቱ የተነሳ በመጋገር ውስጥ ከግሉተን-ነጻ የሆነ ታዋቂ አማራጭ ነው።,Cultivation
ጤፍ,ጤፍን የመጠቀም የጤና ጥቅሞች ምንድ ናቸው?,ጤፍ የደም ስኳር መጠን እንዲቆጣጠር ሊረዳው ይችላል የልብ ጤና ድጋፍ ክብደትን ለመቆጣጠር እና አጠቃላይ የምግብ መፈጨትን ደህንነትን ያበረታታል።,Cultivation
ጤፍ,ለጤፍ የሚመከሩ ክፍተቶች እና የእፅዋት ብዛት ምን ያህል ናቸው?,ጤፍ በአብዛኛው ከ15 እስከ 20 ሴንቲሜትር በረድፎች መካከል ከ300 እስከ 500 እፅዋት በካሬ ሜትር ርቀት ላይ ቢቆይም በአፈር ለምነት ላይ ተመስርቶ ሊለያይ ይችላል።,Cultivation
